("NGC 602","C+N","22.4","-73.55","299.23404528","-43.30318053","R","Hyi","","","","","B, S, R, psbM*, r","3600","");
("NGC 269","Gb","12.125","-73.53333333","303.21937206","-43.59327813","R","Tuc","","","12","p","vF, S, R","3080","");
("NGC 256","C+N","11.475","-73.5","303.47505993","-43.62241052","R","Tuc","","","12","p","F, S, R, gbM, *9 nf 40","3600","");
("NGC 265","Gb","11.9","-73.48333333","303.30883867","-43.64210904","R","Tuc","","","12","p","F, pS, R","3080","");
("IC 5014","U","308.825","-73.46666667","320.74226962","-33.2311891","D","Pav","","","","","F, S, bM, bet 2 F st","9999","");
("NGC 242","OC","10.9","-73.45","303.70340355","-43.66650845","R","Tuc","","","12","p","vF, S, biN","3600","");
("IC 1662","OC","18.15","-73.45","300.85365049","-43.59275373","X","Tuc","","","","","vF, eS; vS Cl?","3600","");
("NGC 241","-","10.85","-73.43333333","303.72406903","-43.68255279","R","Tuc","","","","","vF, R; = 242?","9999","");
("NGC 220","OC","10.125","-73.4","304.01222753","-43.70530064","R","Tuc","","","11","p","F, iR, vgbM, 1st of several","3600","");
("NGC 222","OC","10.15","-73.4","304.0023645","-43.70571821","R","Tuc","","","11","p","vF, R, 2nd of several","3600","");
("NGC 2199","Gx","91.175","-73.4","284.23136199","-29.24024393","R","Men","","","","","F, vS, R, bM","6700","");
("NGC 248","Nb","11.35","-73.38333333","303.52930769","-43.73791371","R","Tuc","","","","","F, S, E or biN, vglbM","3570","");
("NGC 231","OC","10.25","-73.36666667","303.9654948","-43.74063112","R","Tuc","","","12","p","i train of st and neb","3600","");
("NGC 294","Nb","13.025","-73.35","302.86623443","-43.77816682","R","Tuc","","","","","vF, pL, R, vglbM, r","3570","");
("NGC 465","OC","18.875","-73.33333333","300.54989637","-43.68345553","DD","Tuc","","","","","many st, no neb, perhaps Cl","3600","");
("IC 5102","U","321.575","-73.31666667","319.13906594","-36.62626245","D","Pav","","","","","eF, eS, bM","9999","");
("IC 4484","Gx","221.925","-73.3","311.14691634","-12.3106339","C","Aps","","2.5","","","eF, eE 140deg , susp","6700","");
("NGC 267","C+N","12","-73.28333333","303.27467621","-43.84262986","R","Tuc","","","","","Cl, F, pL, st vS","3600","");
("IC 1626","U","16.525","-73.28333333","301.47187597","-43.80332832","D","Tuc","","","","","vF, cS, R","9999","");
("NGC 456","Nb","18.6","-73.28333333","300.64957779","-43.74301615","S","Tuc","","15","","","pF, pL, iR, r, 1st of sev","3570","");
("NGC 6653","Gx","281.15","-73.26666667","321.51029575","-25.40608522","C","Pav","","1.8","","","vF, S, lE, glbM","6700","");
("NGC 6151","U","249.575","-73.25","317.54035296","-17.2100466","R","Aps","","","","","vF, vS *9 nr","9999","");
("IC 2596","Gx","158.55","-73.23333333","293.32644003","-12.97529854","C","Car","","1.4","","","eF, pS, bM","6700","");
("IC 1644","U","17.3","-73.2","301.1531971","-43.86685461","D","Tuc","","","","","PN , stell","9999","");
("NGC 176","OC","8.95","-73.18333333","304.50052947","-43.89725791","R","Tuc","","","12","p","eF, S, vlE, r, *8 nr","3600","");
("NGC 152","Gb","8.2","-73.15","304.80495424","-43.91040513","R","Tuc","","","12","p","vF, L, R, vglbM","3080","");
("NGC 290","OC","12.825","-73.15","302.9458076","-43.97824754","R","Tuc","","","12","p","eF","3600","");
("IC 5066","U","314.275","-73.15","320.46740732","-34.81132056","D","Pav","","","","","vF, vS, bM","9999","");
("NGC 261","Nb","11.625","-73.11666667","303.43034828","-44.00680546","R","Tuc","","","","","F, pL, R, gbM *13","3570","");
("NGC 249","Nb","11.35","-73.08333333","303.54284888","-44.03775494","R","Tuc","","","","","F, pL, vlE, r","3570","");
("NGC 2173","Gb","89.525","-72.98333333","283.78677189","-29.74170352","R","Men","","","","","pF, pL, R, gmbM","3080","");
("IC 5072","U","315.5","-72.98333333","320.48533715","-35.20483704","D","Pav","","","","","eF, eS, R","9999","");
("IC 5016","U","308.9","-72.91666667","321.36484408","-33.41101134","D","Pav","","","","","eeF, eS, *11 sp 1'","9999","");
("NGC 419","Gb","17.075","-72.88333333","301.20293434","-44.1882663","S","Tuc","","2.6","10","","pB, pL, R, gbM","3080","");
("NGC 5833","Gx","227.95","-72.86666667","312.93242442","-12.78038834","R","Aps","","","","","F, cS, lE, glbM, am st","6700","");
("NGC 292","Gx","13.2","-72.83333333","302.79150156","-44.29454657","R","Tuc","","","","","Cl, F, eeL, R, st 12...18","6700","");
("NGC 376","U","15.975","-72.81666667","301.646819","-44.28047572","DD","Tuc","","","","","only a D*, pos 270deg , dist 10","9999","");
("IC 4825","U","289.325","-72.75","322.37469298","-27.72266326","D","Pav","","","","","eF, eS, R","9999","");
("IC 4958","U","303.875","-72.7","322.04402789","-32.02356893","D","Pav","","","","","eF, bM","9999","");
("IC 5008","Gx","308.175","-72.7","321.68556907","-33.26586891","C","Pav","","1.2","","","eF, vS, lE 90deg , lbM","6700","");
("IC 5073","Gx","315.825","-72.68333333","320.77536411","-35.41264779","C","Pav","","1.2","","","eF, S, R","6700","");
("NGC 4372","Gb","186.45","-72.66666667","300.99719901","-9.89129629","S","Mus","","18.6","7.8","","glob. cl. , pF, L, R, st 12...16","3080","");
("IC 4746","U","281.475","-72.66666667","322.18271851","-25.39586825","D","Pav","","","","","eF, eS","9999","");
("IC 5108","Gx","323.225","-72.66666667","319.52935255","-37.37338715","C","Ind","","1.4","","","eF, vS, cbM","6700","");
("IC 5071","Gx","315.325","-72.65","320.8852831","-35.28910023","C","Pav","","3.5","","","cB, S, eE 20deg , stell N","6700","");
("IC 4747","U","281.475","-72.61666667","322.23722755","-25.3872029","D","Pav","","","","","vF, eS, cE 75deg","9999","");
("NGC 6209","Gx","253.775","-72.53333333","318.9199411","-17.76461813","R","Aps","","","","","vF, pL, vgvlbM","6700","");
("IC 4893","U","297.65","-72.51666667","322.57289783","-30.21041577","D","Pav","","","","","eF, vS, R, bM","9999","");
("NGC 1944","OC","80.475","-72.5","283.69030089","-32.46581091","R","Men","","","","","pB, pL, R, bM","3600","");
("NGC 330","OC","14.05","-72.48333333","302.42835002","-44.64026149","S","Tuc","","2","9.6","","glob. cl. , vB, S, lE, st 13...15","3600","");
("NGC 5799","Gx","226.375","-72.43333333","312.74769614","-12.16736584","R","Aps","","","","","eF, S, R, bM","6700","");
("IC 4822","U","288.725","-72.43333333","322.72129602","-27.52723203","D","Pav","","","","","F, S, R","9999","");
("IC 5123","Gx","326.2","-72.41666667","319.18028463","-38.25819209","C","Ind","","1.9","","","cF, vS, cE 15deg , *12 p 1'","6700","");
("IC 1612","U","15","-72.38333333","302.0202239","-44.72975829","D","Tuc","","","","","eF, vS","9999","");
("IC 1611","U","14.925","-72.35","302.05002085","-44.76410108","D","Tuc","","","","","vF, bM","9999","");
("NGC 416","Gb","17.025","-72.35","301.15570099","-44.72074243","S","Tuc","","1.1","11","","F, pS, R, gbM","3080","");
("NGC 460","C+N","18.7","-72.3","300.43662384","-44.7148887","R","Tuc","","","","","F, pL, iR, gbM, r, 2nd of sev","3600","");
("NGC 306","C+N","13.725","-72.21666667","302.55868073","-44.90907555","R","Tuc","","","12","p","F, vS","3600","");
("IC 4841","U","290.2","-72.21666667","322.98923273","-27.96455786","D","Pav","","","","","eF, S, R, cbM","9999","");
("NGC 6101","Gb","246.45","-72.2","317.74768579","-15.82325263","S","Aps","","10.7","9.3","","glob. cl. , pF, L, iR, vgbM, rr, st 14","3080","");
("NGC 346","C+N","14.775","-72.18333333","302.10415241","-44.93260114","S","Tuc","","14","10.3","","B, L, viF, mbM D*, r","3600","");
("NGC 299","C+N","13.5","-72.16666667","302.6547054","-44.96020552","R","Tuc","","","11","p","pB, vS, R, gvlbR, r","3600","");
("IC 5009","U","308.15","-72.16666667","322.30276835","-33.40224727","D","Pav","","","","","vF, vS, bM","9999","");
("NGC 104","Gb","6.025","-72.08333333","305.89378152","-44.88736743","S","Tuc","","30.9","4","","glob. cl.  !! vB, vL, vmCM","3080","");
("NGC 371","OC","15.825","-72.08333333","301.64186624","-45.01519357","S","Tuc","","8","","","Cl, F, L, R, pC, st 14...16","3600","");
("NGC 1890","OC","78.475","-72.06666667","283.35961261","-33.15925725","R","Men","","","","","vF, S, R, glbM","3600","");
("IC 1624","U","16.325","-72.03333333","301.41945782","-45.05418735","D","Tuc","","","","","vF, S, R","9999","");
("NGC 395","U","16.325","-72","301.41586241","-45.08742383","DD","Tuc","","","","","group of about 10 st, no neb","9999","");
